topic,text,audio,,,
想要了解温迪·其四,天空岛啊。连我也不一定飞得到那里呢。而且在那里，没有甜的水，也长不出什么好吃的果子。就更不会有好酒咯？嘿嘿，所以请我去我都不想去哦。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/5d550bff5c72c7a276eb38403db1ec2a_617701000601204895.mp3,,,
想要了解温迪·其五,我的愿望？嗯。以前，我想着要游历整个世界。现在也一样，不过嘛，加上了一份限定条件，那就是跟你一起。有你在，才是完整的。记叙者果然要和冒险者在一起才行嘛，嘿嘿！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/8977eda1a91ed1f4f91abf30821c8c7e_872606781347988474.mp3,,,
温迪的爱好…,我喜欢酒！还有风！唔，如果能有用风酿的酒就好了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/8b69f4a5f73878e8b4dbc73bae5c479a_3575217559561331046.mp3,,,
温迪的烦恼…,其实，只要有猫在附近，我就忍不住会打喷嚏…啊-啊-阿嚏！唔…哎呀…就连想一想也不行么…欸，你知不知道该怎么治好这个毛病呀？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/1c12b674f4521066035d15e0660e5108_1928353605179284075.mp3,,,
喜欢的食物…,你也来一个苹果吗，刚摘的。啊呜，啊…又脆又甜，苹果才是神的馈赠吧！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/8f79d6ebceef894481772b38ec373ac2_2147156252986017916.mp3,,,
讨厌的食物…,哎，你在做什么好吃的吗？欸？热奶酪饼！这个…这个不行，热热的黏糊糊的，唔…对我来说，太腻了…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/6dfedbe52c87cdc6ac120f738c656c3d_5791571614374659919.mp3,,,
生日...,我以前听朋友说生日是要吃蛋糕的…喏，苹果蛋糕，给，勺子。烤出来的时候有点塌了，所以看上去像是苹果派。欸嘿，甜点还真是复杂呀。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/26/76953456/c0d77e44517ccaf613088ed89c125a00_1904736809748162297.mp3,,,
突破的感受·起,欸！刚刚发生了什么！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/c8f6da4b5128353fc5b9707f2712200c_1022286797030536077.mp3,,,
突破的感受·承,辛苦啦。想要来点音乐放松一下吗？随想曲，还是小夜曲？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/d22e6cdd8f95d006ca71f860bdf3c302_3221995183224462647.mp3,,,
突破的感受·转,来，坐这边。我写了一首新诗哦，就叫它「旅行者之风」吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/4804e8018c0e6dffcf995097170dea6a_4725932523504969975.mp3,,,
突破的感受·合,唔…明明这些风景早就看过很多遍了，有你在身边，却像是呈现出了不同的样子。你该不会…还藏着一大堆奇奇怪怪的能力吧？…唔，那倒也不错。说明，我看人的眼光很准呀，欸嘿。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/eebdc621f7988afd91313189654c8d7e_7338096618315460698.mp3,,,
元素战技·其一,哟呼——,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/7509bf7714adba42c8f3472bf1ff16ce_7169728604168328677.mp3,,,
元素战技·其二,在这哟。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/f5e0673d936595ffc15923b09c06efc9_8559744083200499477.mp3,,,
元素战技·其三,留意脚下。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/0ca1ed62ea4ac5d9cee898e89a9e7f94_2922150961977128951.mp3,,,
元素战技·其四,一起来玩吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/ff975e1af9f39173268364c0818454cb_8866300038921663680.mp3,,,
元素爆发·其一,别想逃开喔？,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/78c918dc4492b5c0eb24dbae12362eca_1316006646619509529.mp3,,,
元素爆发·其二,起风咯~,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/f43b135194c89f2f873afa1f56ad9f7d_1847431788507899633.mp3,,,
冲刺开始·其一,飞，比跑快吧？,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/8304a5fd4f7c2eac966c23e68991b02d_7975693736670739987.mp3,,,
打开风之翼·其一,呀嘿~,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/2e7d631b5a03c9475482de1418581b57_5439430680905101309.mp3,,,
打开宝箱•其一,咳咳，请听一首，宝箱之歌!<br>,https://uploadstatic.mihoyo.com/ys-obc/2022/02/07/281568003/c985a3fb3a3e5766002e007732899959_2943678658051240057.mp3,,,
打开宝箱•其二,嘿嘿，要不要感谢「风神的眷顾」呀？,https://uploadstatic.mihoyo.com/ys-obc/2022/02/07/281568003/120ba2518fccf0c495e0853c684864da_5545982791565775503.mp3,,,
打开宝箱•其三,收获不少，可以拿去换几瓶好酒啦。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/07/281568003/3bd471ecdd924c6125f681c57b10b46e_5032124305231898275.mp3,,,
生命值低·其一,等等，这可不好玩！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/f41cb5d2fdd0b427d8de5ea12e977141_246435675484824963.mp3,,,
生命值低·其二,哎呀，别盯着我打呀。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/0ff47906a3d788ce55ccd523bc89a1c6_3336904868779152419.mp3,,,
生命值低·其三,好过分呐。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/1e3081b939e15e9d3855d05f204eb038_2853521911052194232.mp3,,,
倒下·其一,稍微睡一下吧…,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/558cb53766772e6ccd586dea5b23e22e_4238195805004994622.mp3,,,
倒下·其二,啊呀，弦断了…,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/e784b4c4333350ccf1ac81ffba322c19_762113674217205755.mp3,,,
倒下·其三,扑通。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/654404a6e223d62678b7c3747888eb2a_565014286045288339.mp3,,,
普通受击·其一,哎呀…,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/9eab312360d1d05590c4d7ff11717f5e_1278561386861623392.mp3,,,
重受击·其一,好粗鲁哦。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/98751202bd5663b86f39bd59491573c1_5153927536582416829.mp3,,,
加入队伍·其一,调音完成。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/1869728d0ae90299f00a16fc02272c8b_4492323410991278453.mp3,,,
加入队伍·其二,让你久等了哦？,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/3694b134e67744faa9fc717eb6a98763_6999666484688552974.mp3,,,
加入队伍·其三,是要做热身运动吗。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/31153611/9d23f33ba99f33a673e27b94a086d5da_7616728933476072747.mp3,,,
