topic,text,audio,
关于对联…,派蒙：听说对联是璃月的传统文化，有人写完上联以后，会为下联悬赏千金！<br>派蒙：但因为对联很难，钱也不是那么好赚的。<br>派蒙：不仅要求字数相等，还要考虑词性相对…<br>空/荧：嗯，举一个例子呢？派蒙：嗯...「风起地风不起」。<br>空/荧：…唔，「云来海云再来」。<br>派蒙：唔！<br>派蒙：别坐着了，快点起来，快点起来！我们该赚钱去了！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/0782d0d116689f1dcb7f1788ce6ba82f_2663257348254247601.mp3,
关于「不要玩吃的，也不要玩钱」…,派蒙：璃月港流传着一条岩王帝君的训诫，大概的意思是「不要玩钱」。<br>派蒙：因为最初的「摩拉」是他信任人类，才用黄金之体舍肉铸造的。<br>空/荧：凯亚好像一直在玩钱…<br>派蒙：所以千万不要学他。<br>空/荧：我记得还有谁告诫过，不要玩食物。<br>派蒙：是的是的。要对做好的食物抱有敬畏之心。<br>派蒙：…你，你看着我干什么？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/bb797ec4fe4a690b6df29658a40d091b_450554562557373849.mp3,
关于《碎梦奇珍》…,派蒙：顺时针走七圈，逆时针走七圈，再睁开眼睛…<br>空/荧：你在梦游吗？<br>派蒙：才没有呢！我只是想看看《碎梦奇珍》里的那家古董店，是不是真的存在！<br>空/荧：假如故事里的古董店真的存在，派蒙想要买什么宝物呢？<br>派蒙：史莱姆生成器！<br>空/荧：真的会存在那种东西吗…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/e8ff5d7bc76f59c08d6d3a8ff5595d7e_1254089313332238090.mp3,
关于古华派…,空/荧：最近，听古华派的弟子讲了这样一个故事。<br>派蒙：古华派吗，应该是很侠义的故事吧。<br>空/荧：几位师兄弟想要通过比武，定下师妹的亲事，师妹也很赞成这么做。<br>派蒙：在璃月叫「比武招亲」吧？我听说过！<br>空/荧：可比武前一晚，师妹将大师兄最顺手的那柄剑偷走了。<br>派蒙：那师兄可真惨…是师妹有意想要他输的呀…<br>空/荧：是啊，后来大师兄用了十分不顺手的剑，惨遭落败。<br>空/荧：他难以接受这样的结局，跪在地上痛哭流涕。<br>派蒙：可怜的人…他一定很喜欢那个师妹吧？<br>空/荧：最终，他不得不在众人的见证下…迎娶了师妹。<br>派蒙：原来是输的人娶吗？！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/8599dcbea189b30bcac41f3a557d09f6_2605491918199367227.mp3,
关于荻花洲…,派蒙：你知道吗？荻花洲的荻叶，是常见的造纸材料。<br>派蒙：用荻杆实心的一端做笔、空心的一端做笛，在璃月也是一件很风雅的事。<br>派蒙：千百年来，有许多侠客与剑士，都会选在这个风雅的地方对决。<br>派蒙：荻花越多就越风雅，但它们长势最茂盛的地方，有时水会很深…<br>派蒙：所以，决斗声势浩大、最终却双双失足溺死的倒霉侠客…其实还挺多的。<br>空/荧：从这个故事里我们能学到什么呢？<br>派蒙：不要打架！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/258c4e77a3895a5d2b82225028e0a188_2784560246864355187.mp3,
关于「君子鸟」…,派蒙：据说在璃月，人们把鹤叫做「君子鸟」。<br>空/荧：这是为什么呢？<br>派蒙：唔…这个，我也不太清楚…<br>空/荧：那么，我来给你讲一个「仙鹤报恩」的故事吧。<br>空/荧：很久很久以前，有一个善良的书生，解救了一只落入陷阱的仙鹤。<br>空/荧：后来，在一个非常寒冷的夜晚，有一位美丽的姑娘前来借宿。<br>空/荧：姑娘背着一把重剑，把剑法传授给了书生，督促他日夜练习。<br>派蒙：咦？<br>空/荧：书生剑术大成以后，就与姑娘一起投身江湖，行侠仗义。<br>空/荧：十年以后，仙鹤所化的君子终于前来报恩，但那对侠侣却已经退隐江湖…<br>空/荧：这就是「君子报恩，十年太晚」的故事。<br>派蒙：嗯？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/bb31f5a20e390299a6b04745b17e32e3_3911819601495188855.mp3,
关于绝云间…,空/荧：据说绝云间是仙人的居住地。<br>派蒙：哇——仙人的居住地！<br>空/荧：说不定在高耸入云的山顶，能遇到仙人呢。<br>派蒙：哇——遇到仙人！<br>空/荧：但是，仙人平时该怎么交流呢？<br>派蒙：哇——怎么交流呢！<br>空/荧：嗯？这个应急食品快要坏掉了吗？该抓紧吃掉了…<br>派蒙：咳、咳咳。嗯…在山头呼喊的话，就能交流了吧。<br>空/荧：比起仙人，这更像是丘丘人的行为吧…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/2d43f6e4967d2b6ed0357f16030d5c38_7098281038079663403.mp3,
关于「契约」之神…,空/荧：没想到，岩神居然与冰神签订了「契约」。<br>空/荧：契约的内容，究竟会是什么呢…<br>派蒙：派蒙觉得，不管是谁，要和「冰之女皇」做交易，都很不安全！<br>空/荧：确实是这样…<br>空/荧：但既然摩拉克斯是所有神灵里，最理解「契约」本质的那一位…<br>空/荧：他应该不会没有考虑过这件事。<br>派蒙：嗯，摩拉克斯本人好像很有自信，叫它「终结一切契约的契约」…<br>空/荧：我们最终会见证真相…和结局的。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/abfb0b7970d8b32245886a3b52945bfe_1584097789711419559.mp3,
关于璃月的神谕…,派蒙：说起来，岩王爷虽然喜欢微服私访，但正式降临却只有一年一次。<br>派蒙：其他神好像都不是这样的，岩王爷是有什么深意吗？<br>空/荧：我大概能猜到一点原因…<br>空/荧：你看，现在每年降下的那些神谕，已经牵动了太多璃月人的心。<br>空/荧：他们围着神谕打转，试图从字缝里分析出无限的「潜台词」…<br>空/荧：如果那样的神谕每天都有，璃月又会变成什么样呢？<br>派蒙：啊！派蒙：我明白了。如果是我的话，一定会收集岩王爷在民间夸赞过的小吃，天天供奉给他！<br>派蒙：如果能直接从摩拉克斯那里得到摩拉的话，谁还会去做正经生意啊！<br>空/荧：虽然例子的逻辑有点跳跃，但…道理大致就是这样。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/742649a508f568f4db9ebbb49b566e7f_5104381020505599881.mp3,
关于班尼冒险团…,派蒙：如果要和「班尼冒险团」合作探索秘境，就一定要做好准备。<br>派蒙：秘境是很危险的，出发前要多检查几遍物资和工具，不能大意。<br>派蒙：我听说在这些秘境里，光是冒险家协会统计过的死法，就有四百六十三种…<br>派蒙：如果班尼特不小心害死了你，我和他的良心都会很不安的！<br>空/荧：…为什么死的只有我？<br>派蒙：嗯，根据统计，因为我会飞，所以可以至少免疫其中的三百二十二种死法！<br>空/荧：我忽然不太想去秘境探险了…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/bca5a0a976c3411cfc09f5e50a72dd4b_5397183581509008587.mp3,
关于班尼特…,空/荧：我听说，艾伯特先生作为芭芭拉粉丝团的团长…<br>空/荧：经常故意弄出些磕磕碰碰的伤，就为了去教堂见芭芭拉一面。<br>派蒙：我觉得西风骑士团需要重点关注这种家伙。<br>空/荧：可是一个月下来，艾伯特发现…跟芭芭拉见面的次数，被班尼特远远超越了。<br>空/荧：毕竟在受伤方面，班尼特有天然的优势…<br>派蒙：这是什么「给芭芭拉小姐添麻烦」的比赛吗！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/f6b09817fe14f43b66dc7576da0ed54d_4375124226878254297.mp3,
关于偶像…,派蒙：芭芭拉很受大家欢迎呢。<br>空/荧：毕竟是蒙德的大众偶像嘛。<br>派蒙：说起来我一直没太懂…「偶像」是什么呀？<br>空/荧：是一种职业，只需要负责可爱，就可以受大家喜欢，赚好多摩拉呢。<br>派蒙：和吉祥物差不多嘛。<br>空/荧：呃，也可以这么说吧…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/0d1439350f2f217234e12aecd07998c7_584000716241310030.mp3,
关于姐妹关系…,空/荧：丽莎和安柏的关系，有点像姐妹。<br>派蒙：咦，为什么？<br>空/荧：安柏经常帮丽莎跑腿。姐姐为了偷懒，要求妹妹帮忙跑腿，是很常见的事…<br>空/荧：不过我和妹妹/哥哥因为同年，所以就只能猜拳决定了。<br>派蒙：呜哇，这么说来，那你就是我的妹妹/弟弟了！<br>空/荧：为什么？<br>派蒙：我会「飞」啊，实际上「跑腿」的只有你一个人哦！<br>空/荧：啊？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/92eb7c49b418de4bda442898d86d74de_5679734276341996736.mp3,
关于凯亚的眼罩…,空/荧：派蒙，你见过凯亚眼罩下面的样子吗？<br>派蒙：没见过呢。<br>空/荧：这么说来，凯亚似乎一年四季都不会摘下眼罩…<br>派蒙：哼哼，机智的派蒙已经猜到为什么了！<br>空/荧：嗯？<br>派蒙：肯定是要隐藏什么大秘密！<br>空/荧：大秘密？<br>派蒙：你看，凯亚外出的工作比较多。<br>派蒙：所以凯亚眼罩下的皮肤，肯定比周围的白一大圈。<br>空/荧：那如果摘下眼罩…<br>派蒙：肯定会被大家笑话的吧！然后被取奇怪的绰号！<br>派蒙：比如说——「花脸猫」！<br>空/荧：唔，他还没摘下眼罩，就已经被取了奇怪的绰号呢…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/400ee7d545d30c7c968d1e703d3e9490_5964610080387904972.mp3,
关于迪卢克与凯亚…,派蒙：奇怪…<br>空/荧：怎么了？<br>派蒙：为什么迪卢克和凯亚明明是很相似的两个人，关系却不太好呢？<br>空/荧：他们哪里相似了？派蒙：凯亚像是那种…会光明正大地耍阴招的人。<br>派蒙：迪卢克像是那种…在暗地里做光明正大的事的人。<br>派蒙：是不是很相似？<br>空/荧：我还是不知道相似在哪里。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/52256dd54527f0194232e3cb30c69cd8_335410080330327817.mp3,
关于战斗力单位…,空/荧：如果说一个丘丘人，能打三头野猪的话…<br>空/荧：琴团长和迪卢克老爷，分别有几丘丘战斗力呢？<br>派蒙：如果在蒙德城里体会过大家的统一口径，就应该知道，最厉害的是琴团长。<br>空/荧：我觉得迪卢克先出手的话，琴团长应该没办法化解。<br>派蒙：琴团长一定有办法的。<br>空/荧：肯定无解。<br>派蒙：琴团长的元素爆发是很强的。<br>空/荧：但那个「领域」，反过来会增强迪卢克。<br>派蒙：琴团长对付迪卢克老爷都不用「神之眼」。<br>空/荧：迪卢克只用「新手大剑」就…<br>派蒙：唉…<br>空/荧：唔…<br>空/荧：我们好无聊啊。<br>空/荧：他们都是为了蒙德而战的，不可能会打起来的。<br>派蒙：所以我觉得需要用丘丘人当战斗力单位啊。<br>派蒙：顺带一提，派蒙大概五分之一野猪哦。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/28/76953456/d18bb75f542fde98b2e794045275b1f4_2472256362060369267.mp3,
关于雷泽…,派蒙：空/荧，你知道毛笔吗？<br>空/荧：用动物的毛做成的笔，可以拿来写字？<br>派蒙：嗯，答对了！据说好的毛笔能在璃月商人那边卖出高价呢！<br>空/荧：所以派蒙也想做毛笔？<br>派蒙：嗯！但是野外的狼都太凶了，所以我们去薅雷泽的毛做毛笔吧！<br>派蒙：雷泽毛茸茸的，肯定能做出上好的狼毫笔！然后我们就能大赚一笔！<br>空/荧：这样做出来的笔肯定带电，没办法用吧。<br>空/荧：而且雷泽不是狼，狼毫笔也不是狼毛做的…<br>派蒙：欸——那为什么要叫做狼毫笔！<br>空/荧：你看果酒湖里不也没有果酒吗。<br>派蒙：喔——很有道理呢！,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/333bf9f7ebc5a6451eef3885157781d7_6682303205512231872.mp3,
关于可莉…,派蒙：可莉也是个很有意思的孩子呢。<br>派蒙：骑士团的大家都很喜欢她，说是团宠也不为过吧。<br>空/荧：派蒙和可莉…究竟哪一边比较强呢？<br>空/荧：啊，对了，派蒙不是吉祥物，派蒙是…<br>派蒙：哼，看到你张嘴就知道你准备说什么。这个笑话说太多次就不好笑了。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/6febcf1bec7809f45fcb8c1a8b940841_4979500672396123398.mp3,
关于传说中的万能女仆…,派蒙：分享生活小智慧时间到！<br>空/荧：生活小智慧？<br>派蒙：在蒙德，如果有东西怎么修都修不好，或者怎么洗都洗不干净…<br>派蒙：遇到这种事，自己又处理不了的话，就可以对着天空大喊一声：<br>派蒙：「诺——艾——尔——！」<br>派蒙：所有的烦心事，就都会被马上解决啦。<br>空/荧：这就是蒙德人的生活小智慧吗？太棒了，学到许多…,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/c075bd712000a706c947ab0e98b3195f_1393439486933940377.mp3,
关于菲谢尔…,派蒙：菲谢尔给人的感觉很不一样呢。<br>空/荧：比如说？<br>派蒙：比如说，和一只会说话的乌鸦一起行动。<br>空/荧：唔，那我和派蒙一起旅行，也差不多吧。<br>空/荧：不过，奥兹还能当菲谢尔的翻译。但派蒙的话…嗯…<br>派蒙：什么？！我可比乌鸦厉害多了！<br>空/荧：比如说？<br>派蒙：唔…嗯…呃…比如说我不用翅膀也能飞！,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/3a01d12bb4c88b5835cdbc1fc37f9e80_4489231673053464760.mp3,
关于宠物…,空/荧：说起菲谢尔，她也自称是「异世界的来客」…<br>空/荧：这一点和我一样呢，而且都带着一只宠物。<br>派蒙：宠物？不对不对…<br>空/荧：只不过她的乌鸦「奥兹」…外型又帅气，讲话又彬彬有礼。<br>空/荧：更重要的是又能侦察又能打架，帮助很大。<br>空/荧：和菲谢尔商量一下，偶尔交换一下也还挺有趣的吧？一周两周之类的。<br>派蒙：你不先问我的意见吗？！,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/5a240afd5bed9b05aae588ef9df078ba_6182150738204444034.mp3,
关于北斗…,派蒙：要怎么样才能成为北斗大姐头那种，又有号召力，又帅气的人物呢！<br>空/荧：要有足够的见识…<br>派蒙：陪你旅行到现在，派蒙已经见过很多东西了！<br>空/荧：要经历挫折和苦难…<br>派蒙：派蒙差点在水里咕嘟咕嘟咕嘟下去了…<br>空/荧：要始终怀有鼓舞他人的气概…<br>派蒙：嗯！派蒙一直支持着你哦。<br>空/荧：看待问题要成熟…<br>派蒙：喂！你就是想说派蒙我没可能了是吧？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/c3cd6b8b5b0feb21ffd40b41cce5af2b_6960126146434638594.mp3,
关于凝光…,派蒙：要怎么样才能成为凝光大人那种，很有钱，又很有钱的人物呢！<br>空/荧：凝光给你的印象就只剩下钱了吗…<br>派蒙：还有大大的「群玉阁」！不过那也是用摩拉堆出来的吧。<br>空/荧：那么，要有精明的头脑…<br>派蒙：派蒙擅长给人取绰号！<br>空/荧：要熟悉市场运作的规则…<br>派蒙：一份渔人吐司卖1025摩拉，下雨天也不会打折。<br>空/荧：要有高人一等的办事手腕…<br>派蒙：…怎样才能跟一个有钱人成为朋友呢？<br>空/荧：这就已经放弃了吗？！,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/bd2e17cc96155abbcf34989d0b39e768_704480413186092611.mp3,
关于七七是僵尸这件事…,派蒙：七七…会不会需要吸血呢？<br>空/荧：那不是僵尸，是吸血鬼吧。<br>派蒙：那她的胳膊会不会突然掉下来？<br>空/荧：那不是僵尸，是丧尸吧。<br>派蒙：真不愧是旅行者，见识非常广呢！<br>派蒙：这样说来，僵尸会做什么特别的事呢？<br>空/荧：体操？<br>派蒙：你说得很有道理！所以会做体操就是僵尸！,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/16fed4947d1998fc7efe5a6cd1bed78e_4703820560372739835.mp3,
关于飞行…,派蒙：空/荧，来跟派蒙学飞行吧！<br>派蒙：三、二、一！<br>空/荧：啊，不见了。<br>空/荧：算了，已经很累了，还是先在这坐一会…<br>空/荧：我的心是和你一起飞翔的…嗯…,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/9b69b269ac47c08510c3dca70ced4914_708246473597885582.mp3,
关于史莱姆…,派蒙：空/荧，你最喜欢哪种史莱姆呀？<br>空/荧：火/冰史莱姆吧。凑近就能感到热浪/寒气，冬/夏天会很需要。<br>派蒙：实用性的角度呢，不愧是旅行者。<br>空/荧：那派蒙呢？<br>派蒙：我都喜欢！都很好吃！<br>空/荧：好吃…<br>派蒙：把史莱姆叽里咕噜、咕嘟哇噜地做成特色饮品，就是「派蒙特调」喔！<br>空/荧：好，好吧…<br>空/荧：那么，就把小派蒙在应急食品的顺位，下调一位吧。<br>派蒙：我希望这个顺位里不要有我才好！,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/d58518229762446b8c48abf16c93855e_2244779307354480374.mp3,
关于丘丘人…,空/荧：对丘丘人，我们是不是做得有点太过分了？<br>派蒙：确实…有的时候，我们就像见到蜂窝一定要捅一下的小孩子一样。<br>空/荧：嗯…只是「捅一下」的程度吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/dbfc5ee34010c6a2130676c81d12c165_7716449610348892027.mp3,
关于「好睡族」…,空/荧：「好睡族」…丘丘人的部族名真是奇妙。<br>派蒙：好睡族的丘丘人，会抓住一切可以利用的时机睡觉。<br>派蒙：据说他们的兽皮床铺非常松软，你想试试看吗？<br>空/荧：派蒙自己不试试吗？<br>派蒙：我可以飘浮着睡！空气永远是最松软的床。嘿嘿嘿，羡慕吗？<br>空/荧：…有一点点。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/95692271991e9cd83d817a427542d4cc_1345855334059049786.mp3,
关于「好肉族」…,空/荧：「好肉族」…丘丘人的部族名真是奇妙。<br>派蒙：「好肉族」的丘丘人，会定期祭祀。他们的祭坛建得很壮观喔。<br>空/荧：祭祀的内容是？<br>派蒙：「每天都有肉吃」！是很棒的愿望吧？<br>空/荧：…可以想见的答案，我不意外。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/c52f106f1d68f793e4d73dea957baa2f_8958411600466805245.mp3,
关于「黑日族」…,空/荧：「黑日族」…丘丘人也有这种听起来比较正常的部族名呢。<br>派蒙：「黑日族」的丘丘人，很神秘呀。<br>派蒙：那个部族的丘丘人，都会画一种叫做「黑日标志」的图案。<br>派蒙：但据说只有黑日族的大萨满，才知道那个标志背后的含义…<br>空/荧：黑色的…太阳…<br>派蒙：嗯？空/荧，你刚才说什么？<br>空/荧：啊，我在问你今天晚上要煮什么肉的汤。<br>派蒙：怎么突然转到这种话题，你是「好肉族」的丘丘人吗——我要野猪肉的！谢谢！,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/6f3f18b6f2a72dfbe45e397f37f6ef27_2349184130092080505.mp3,
关于财宝…,派蒙：派蒙…身体，有点不太舒服…<br>空/荧：你怎么了？<br>派蒙：已经很久没有亲手打开过宝箱了，这样下去…这样下去的话…<br>空/荧：这样下去的话，总有一天你会被放着一摩拉的捕兽夹抓住吧。<br>派蒙：喂——派蒙会飞啦，才不会上那种当的。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/ede0697209fa0e672693fdf10da6a004_4457553691007282671.mp3,
关于发胖…,派蒙：呜哇，最近在旅行途中，吃了很多好吃的呢。<br>派蒙：只要吃到好吃的，旅行的疲惫就能一扫而空！<br>空/荧：嗯…如果发胖了，小派蒙会飞不起来吗？<br>派蒙：哼哼，才不会！我是吃不胖的类型！<br>空/荧：嗯…<br>派蒙：所以我还要吃更多好吃的！<br>空/荧：光吃不长肉。从应急食品的角度来看，不合格了吧？<br>派蒙：喂——难道你在外面还有其他合格的应急食品吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/a87dfa45d45b9b80074dbc677a85f5e0_6048412364378419374.mp3,
关于猫派和狗派…,派蒙：猫咪和狗狗，你更喜欢哪一个？<br>空/荧：我更喜欢小派蒙哦！<br>派蒙：呜哇，这犯规了吧…<br>派蒙：咦，不对。派蒙不是宠物！,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/7d49e3720bc4b37f385ca9ca36667878_296244970243248375.mp3,
关于大海的声音…,派蒙：据说把耳朵凑近星螺，就能听到大海的悄悄话哦！<br>空/荧：派蒙想要试一试吗？<br>派蒙：不用啦！我刚刚听过了！<br>空/荧：哦？那大海悄悄说了些什么？<br>派蒙：大海说，现在到用餐时间啦——快走吧，我想吃「渔人吐司」！,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/b6571494c46225d631842f78d0db0c88_4184531090146202954.mp3,
关于猜拳…,派蒙：想马上就能吃到好吃的！但，又不想跑腿…<br>空/荧：要用猜拳来决定谁去买吗？<br>派蒙：好呀好呀！<br>空/荧：那么，石头剪刀布——<br>派蒙：「超级派蒙旋风」！<br>空/荧：…欸？,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/88b4016b70217f5a75d08648caebd17d_4138580225680350232.mp3,
关于放松方式…,派蒙：最近好累啊，有什么推荐的放松方式吗？<br>空/荧：睡觉？<br>派蒙：睡觉好无聊，换一个。<br>空/荧：看书？<br>派蒙：脑袋会晕晕的，换一个。<br>空/荧：跟好朋友聊天？<br>派蒙：…唔。派蒙：但我们却在讨论需要思考的话题呢。<br>派蒙：不思考的话，反而会变得更放松。<br>空/荧：未来提瓦特哲学史上著名的「派蒙悖论」，在这个时刻被提出了。,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/2ea53bb045f7b848d0d53fcc03f598d8_2045048788240725523.mp3,
关于饮食差异…,空/荧：璃月的菜肴跟蒙德的差异很大呢。<br>空/荧：比如辣味的炒菜，在蒙德就几乎见不到。<br>派蒙：这就是人们常说的，「一方水土养一方人」吧！<br>派蒙：呃…但是为什么全提瓦特的史莱姆都是一个味道的？<br>空/荧：那是因为你只会同一种烹饪方式吧…,https://uploadstatic.mihoyo.com/ys-obc/2021/03/06/76953456/fbe3d9a1751c80c83dec8a33c20f934f_89222467685663286.mp3,
